date,composite_return__london_1600,composite_return__new_york_1600,composite_return__utc_0000,coinbase_return__london_1600,coinbase_return__new_york_1600,coinbase_return__utc_0000,bitstamp_return__london_1600,bitstamp_return__new_york_1600,bitstamp_return__utc_0000,venue_return_difference_bps__london_1600,venue_return_difference_bps__new_york_1600,venue_return_difference_bps__utc_0000,interval_hours__london_1600,interval_hours__new_york_1600,interval_hours__utc_0000,utc_vs_london_bps,utc_vs_new_york_bps,london_vs_new_york_bps,cutoff_return_dispersion_bps,subperiod,all_intervals_24h
2026-02-06,0.0186439563,0.0996760680,-0.1398101344,0.0189260752,0.0997167401,-0.1398257487,0.0183618335,0.0996354036,-0.1397945205,5.6424164244,0.8133649286,0.3122810270,24.0000000000,24.0000000000,24.0000000000,1584.5409072819,2394.8620237050,810.3211164231,2394.8620237050,2024-2026,True
2020-03-12,-0.2122479588,-0.2293168057,0.0058312105,-0.2116703894,-0.2291386568,0.0054935729,-0.2128255416,-0.2294950063,0.0061692231,11.5515220259,3.5634942796,6.7565023466,24.0000000000,24.0000000000,24.0000000000,2180.7916927567,2351.4801619350,170.6884691783,2351.4801619350,2017-2020,True
2018-01-21,-0.0784894660,-0.1268143567,0.1079259503,-0.0790392473,-0.1265142025,0.1099061744,-0.0779408723,-0.1271140634,0.1059548130,10.9837506686,5.9986086544,39.5136134897,24.0000000000,24.0000000000,24.0000000000,1864.1541629667,2347.4030697832,483.2489068165,2347.4030697832,2017-2020,True
2018-01-17,-0.2289912206,-0.0143994956,-0.1559246889,-0.2341586602,-0.0162740645,-0.1486379691,-0.2237964021,-0.0125146072,-0.1632022835,103.6225809745,37.5945730196,145.6431442890,24.0000000000,24.0000000000,24.0000000000,730.6653171106,1415.2519331305,2145.9172502411,2145.9172502411,2017-2020,True
2018-02-06,-0.0039954739,0.0556178007,-0.1576785984,-0.0054533061,0.0533782600,-0.1545952392,-0.0025359683,0.0578500855,-0.1607532658,29.1733776504,44.7182548852,61.5802660572,24.0000000000,24.0000000000,24.0000000000,1536.8312450283,2132.9639910829,596.1327460546,2132.9639910829,2017-2020,True
2021-05-21,-0.0864967586,-0.1026220150,0.1054525930,-0.0865101948,-0.1027984672,0.1059459459,-0.0864833221,-0.1024454946,0.1049598931,0.2687266460,3.5297261448,9.8605287237,24.0000000000,24.0000000000,24.0000000000,1919.4935159320,2080.7460797706,161.2525638386,2080.7460797706,2021-2023,True
2017-12-31,0.0356972065,0.0777370427,-0.1184934812,0.0239634193,0.0701314199,-0.1184383164,0.0477745990,0.0854830769,-0.1185495119,238.1117968303,153.5165698350,1.1119547430,24.0000000000,24.0000000000,24.0000000000,1541.9068769699,1962.3052392582,420.3983622883,1962.3052392582,2017-2020,True
2017-12-27,-0.0301443528,-0.0685263766,0.1236345068,-0.0306586599,-0.0707172494,0.1142324502,-0.0296281870,-0.0663204254,0.1332127597,10.3047295755,43.9682402394,189.8030948804,24.0000000000,24.0000000000,24.0000000000,1537.7885965766,1921.6088337815,383.8202372049,1921.6088337815,2017-2020,True
2018-01-16,-0.1227233435,-0.1943606259,-0.0039254005,-0.1188397771,-0.1912663024,-0.0048498012,-0.1265931338,-0.1974482007,-0.0030004418,77.5335669941,61.8189828637,18.4935932973,24.0000000000,24.0000000000,24.0000000000,1187.9794299598,1904.3522536727,716.3728237129,1904.3522536727,2017-2020,True
2022-11-11,-0.0400539865,-0.0826797699,0.1050059555,-0.0390328176,-0.0817295172,0.1045767797,-0.0410732597,-0.0836283186,0.1054355357,20.4044209158,18.9880138564,8.5875597559,24.0000000000,24.0000000000,24.0000000000,1450.5994203799,1876.8572535874,426.2578332075,1876.8572535874,2021-2023,True
2022-06-19,0.0211830134,0.1141842729,-0.0729512118,0.0211868056,0.1152093187,-0.0733069377,0.0211792217,0.1131604290,-0.0725953612,0.0758388816,20.4888973264,7.1157652750,24.0000000000,24.0000000000,24.0000000000,941.3422515171,1871.3548469363,930.0125954192,1871.3548469363,2021-2023,True
